Sl.No         Start Carrying Food                   End Carrying Food                           Section
1                262                                         309                                    1
2                612                                         672                                    2
3                910                                         967                                    3
4                1168                                        1221                                   4
5                1605                                        1658                                   1
6                1895                                        1951                                   2
7                2174                                        2233                                   3
8                2434                                        2500                                   4
9                2633                                        2776                                   1
10               3014                                        3079                                   2
11               3280                                        3351                                   3
12               3536                                        3660                                   4
13               3960                                        4012                                   1
14               4196                                        4257                                   2
15               4517                                        4577                                   3
16               4777                                        4829                                   4
17               5018                                        5093                                   1
18               5254                                        5325                                   2
19               5539                                        5606                                   3
20               5772                                        5840                                   4
21               6023                                        6090                                   1
22               6287                                        6340                                   2
23               6516                                        6569                                   3
24               6836                                        6885                                   4
25               7112                                        7193                                   1
26               7359                                        7437                                   2
27               7638                                        7695                                   3
28               7860                                        7940                                   4
29               8090                                        8214                                   1
30               8386                                        8459                                   2
31               8692                                        8752                                   3
32               8967                                        9021                                   4
33               9216                                        9275                                   1
34               9490                                        9535                                   2
35               9758                                        9842                                   3
36               10067                                       10129                                  4
37               10467                                       10528                                  1
38               10799                                       10859                                  2
39               11068                                       11151                                  3
40               11375                                       11451                                  4
